"Year","Month","Day","Site.Name","COUNTY","meanLatitude","meanLongtiude","PM2.5","Ozone"
"2018","01","17","Millbrook School","Wake",35.856111,-78.574167,56,29
"2018","01","17","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,48.5,NA
"2018","01","17","West Johnston Co.","Johnston",35.59095,-78.4622,66,NA
"2018","01","18","Bryson City","Swain",35.434767,-83.442133,48,NA
"2018","01","18","Castle Hayne","New Hanover",34.364167,-77.838611,30,NA
"2018","01","18","Clemmons Middle","Forsyth",36.026,-80.342,40,NA
"2018","01","18","Durham Armory","Durham",36.0329550008979,-78.904037,45,NA
"2018","01","18","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,40,31
"2018","01","18","Hattie Avenue","Forsyth",36.110693332,-80.2264378,35,NA
"2018","01","18","Leggett","Edgecombe",35.988278,-77.5843,31,NA
"2018","01","18","Mendenhall School","Guilford",36.1090060008986,-79.802314,34,NA
"2018","01","18","Millbrook School","Wake",35.856111,-78.574167,54,35
"2018","01","18","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,38,NA
"2018","01","18","West Johnston Co.","Johnston",35.59095,-78.4622,50,NA
"2018","01","19","Bryson City","Swain",35.434767,-83.442133,52,NA
"2018","01","19","Clemmons Middle","Forsyth",36.026,-80.342,54,NA
"2018","01","19","Durham Armory","Durham",36.0329550008979,-78.904037,57,NA
"2018","01","19","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,49,22
"2018","01","19","Hattie Avenue","Forsyth",36.110693332,-80.2264378,43,NA
"2018","01","19","Leggett","Edgecombe",35.988278,-77.5843,25,NA
"2018","01","19","Mendenhall School","Guilford",36.1090060008986,-79.802314,37,NA
"2018","01","19","Millbrook School","Wake",35.856111,-78.574167,55,32
"2018","01","19","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,34,NA
"2018","01","19","West Johnston Co.","Johnston",35.59095,-78.4622,42,NA
"2018","01","20","Bryson City","Swain",35.434767,-83.442133,51,NA
"2018","01","20","Castle Hayne","New Hanover",34.364167,-77.838611,21,NA
"2018","01","20","Clemmons Middle","Forsyth",36.026,-80.342,63,NA
"2018","01","20","Durham Armory","Durham",36.0329550008979,-78.904037,45,NA
"2018","01","20","Frying Pan Mountain","Haywood",35.379167,-82.7925,6,NA
"2018","01","20","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,43,32
"2018","01","20","Hattie Avenue","Forsyth",36.110693332,-80.2264378,36,NA
"2018","01","20","Leggett","Edgecombe",35.988278,-77.5843,28,NA
"2018","01","20","Linville Falls","Avery",35.972347,-81.933072,8,NA
"2018","01","20","Mendenhall School","Guilford",36.1090060008986,-79.802314,38,NA
"2018","01","20","Millbrook School","Wake",35.856111,-78.574167,50,35
"2018","01","20","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,41,NA
"2018","01","20","West Johnston Co.","Johnston",35.59095,-78.4622,40,NA
"2018","01","21","Bryson City","Swain",35.434767,-83.442133,50,NA
"2018","01","21","Clemmons Middle","Forsyth",36.026,-80.342,48,NA
"2018","01","21","Durham Armory","Durham",36.0329550008979,-78.904037,44,NA
"2018","01","21","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,53,36
"2018","01","21","Hattie Avenue","Forsyth",36.110693332,-80.2264378,49,NA
"2018","01","21","Leggett","Edgecombe",35.988278,-77.5843,22,NA
"2018","01","21","Mendenhall School","Guilford",36.1090060008986,-79.802314,34,NA
"2018","01","21","Millbrook School","Wake",35.856111,-78.574167,51,34
"2018","01","21","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,35,NA
"2018","01","21","West Johnston Co.","Johnston",35.59095,-78.4622,43,NA
"2018","01","22","Bryson City","Swain",35.434767,-83.442133,48,NA
"2018","01","22","Castle Hayne","New Hanover",34.364167,-77.838611,25,NA
"2018","01","22","Clemmons Middle","Forsyth",36.026,-80.342,58,NA
"2018","01","22","Durham Armory","Durham",36.0329550008979,-78.904037,59,NA
"2018","01","22","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,57,37
"2018","01","22","Hattie Avenue","Forsyth",36.110693332,-80.2264378,52,NA
"2018","01","22","Leggett","Edgecombe",35.988278,-77.5843,40,NA
"2018","01","22","Mendenhall School","Guilford",36.1090060008986,-79.802314,51,NA
"2018","01","22","Millbrook School","Wake",35.856111,-78.574167,59,32
"2018","01","22","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,39,NA
"2018","01","22","West Johnston Co.","Johnston",35.59095,-78.4622,57,NA
"2018","01","23","Bryson City","Swain",35.434767,-83.442133,17,NA
"2018","01","23","Castle Hayne","New Hanover",34.364167,-77.838611,8,NA
"2018","01","23","Clemmons Middle","Forsyth",36.026,-80.342,25,NA
"2018","01","23","Durham Armory","Durham",36.0329550008979,-78.904037,18.5,NA
"2018","01","23","Frying Pan Mountain","Haywood",35.379167,-82.7925,11,NA
"2018","01","23","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,15.5,36
"2018","01","23","Hattie Avenue","Forsyth",36.110693332,-80.2264378,20,NA
"2018","01","23","Leggett","Edgecombe",35.988278,-77.5843,13,NA
"2018","01","23","Linville Falls","Avery",35.972347,-81.933072,10,NA
"2018","01","23","Mendenhall School","Guilford",36.1090060008986,-79.802314,19,NA
"2018","01","23","Millbrook School","Wake",35.856111,-78.574167,20.5,37
"2018","01","23","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,16,NA
"2018","01","23","West Johnston Co.","Johnston",35.59095,-78.4622,15,NA
"2018","01","24","Bryson City","Swain",35.434767,-83.442133,18,NA
"2018","01","24","Castle Hayne","New Hanover",34.364167,-77.838611,7,NA
"2018","01","24","Clemmons Middle","Forsyth",36.026,-80.342,16,NA
"2018","01","24","Durham Armory","Durham",36.0329550008979,-78.904037,26,NA
"2018","01","24","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,22,28
"2018","01","24","Hattie Avenue","Forsyth",36.110693332,-80.2264378,15,NA
"2018","01","24","Leggett","Edgecombe",35.988278,-77.5843,3,NA
"2018","01","24","Mendenhall School","Guilford",36.1090060008986,-79.802314,13,NA
"2018","01","24","Millbrook School","Wake",35.856111,-78.574167,20,31
"2018","01","24","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,9,NA
"2018","01","24","West Johnston Co.","Johnston",35.59095,-78.4622,15,NA
"2018","01","25","Bryson City","Swain",35.434767,-83.442133,26,NA
"2018","01","25","Castle Hayne","New Hanover",34.364167,-77.838611,13,NA
"2018","01","25","Clemmons Middle","Forsyth",36.026,-80.342,34,NA
"2018","01","25","Durham Armory","Durham",36.0329550008979,-78.904037,43,NA
"2018","01","25","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,30,31
"2018","01","25","Hattie Avenue","Forsyth",36.110693332,-80.2264378,34,NA
"2018","01","25","Leggett","Edgecombe",35.988278,-77.5843,8,NA
"2018","01","25","Mendenhall School","Guilford",36.1090060008986,-79.802314,27,NA
"2018","01","25","Millbrook School","Wake",35.856111,-78.574167,35,31
"2018","01","25","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,13,NA
"2018","01","25","West Johnston Co.","Johnston",35.59095,-78.4622,25,NA
"2018","01","26","Bryson City","Swain",35.434767,-83.442133,52,NA
"2018","01","26","Castle Hayne","New Hanover",34.364167,-77.838611,6,NA
"2018","01","26","Clemmons Middle","Forsyth",36.026,-80.342,58,NA
"2018","01","26","Durham Armory","Durham",36.0329550008979,-78.904037,46,NA
"2018","01","26","Frying Pan Mountain","Haywood",35.379167,-82.7925,8,NA
"2018","01","26","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,46,34
"2018","01","26","Hattie Avenue","Forsyth",36.110693332,-80.2264378,57.6666666666667,NA
"2018","01","26","Leggett","Edgecombe",35.988278,-77.5843,16,NA
"2018","01","26","Linville Falls","Avery",35.972347,-81.933072,18,NA
"2018","01","26","Mendenhall School","Guilford",36.1090060008986,-79.802314,56,NA
"2018","01","26","Millbrook School","Wake",35.856111,-78.574167,47.5,28
"2018","01","26","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,21,NA
"2018","01","26","West Johnston Co.","Johnston",35.59095,-78.4622,35,NA
"2018","01","27","Bryson City","Swain",35.434767,-83.442133,58,NA
"2018","01","27","Castle Hayne","New Hanover",34.364167,-77.838611,3,NA
"2018","01","27","Clemmons Middle","Forsyth",36.026,-80.342,61,NA
"2018","01","27","Durham Armory","Durham",36.0329550008979,-78.904037,42,NA
"2018","01","27","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,49,31
"2018","01","27","Hattie Avenue","Forsyth",36.110693332,-80.2264378,76,NA
"2018","01","27","Leggett","Edgecombe",35.988278,-77.5843,18,NA
"2018","01","27","Mendenhall School","Guilford",36.1090060008986,-79.802314,55,NA
"2018","01","27","Millbrook School","Wake",35.856111,-78.574167,37,37
"2018","01","27","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,26,NA
"2018","01","27","West Johnston Co.","Johnston",35.59095,-78.4622,27,NA
"2018","01","28","Bryson City","Swain",35.434767,-83.442133,28,NA
"2018","01","28","Castle Hayne","New Hanover",34.364167,-77.838611,0,NA
"2018","01","28","Clemmons Middle","Forsyth",36.026,-80.342,56,NA
"2018","01","28","Durham Armory","Durham",36.0329550008979,-78.904037,25,NA
"2018","01","28","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,43,29
"2018","01","28","Hattie Avenue","Forsyth",36.110693332,-80.2264378,46,NA
"2018","01","28","Leggett","Edgecombe",35.988278,-77.5843,10,NA
"2018","01","28","Mendenhall School","Guilford",36.1090060008986,-79.802314,46,NA
"2018","01","28","Millbrook School","Wake",35.856111,-78.574167,22,30
"2018","01","28","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,11,NA
"2018","01","28","West Johnston Co.","Johnston",35.59095,-78.4622,18,NA
"2018","01","29","Bryson City","Swain",35.434767,-83.442133,12,NA
"2018","01","29","Castle Hayne","New Hanover",34.364167,-77.838611,0,NA
"2018","01","29","Clemmons Middle","Forsyth",36.026,-80.342,18,NA
"2018","01","29","Durham Armory","Durham",36.0329550008979,-78.904037,12,NA
"2018","01","29","Frying Pan Mountain","Haywood",35.379167,-82.7925,4,NA
"2018","01","29","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,13,23
"2018","01","29","Hattie Avenue","Forsyth",36.110693332,-80.2264378,12.5,NA
"2018","01","29","Leggett","Edgecombe",35.988278,-77.5843,0,NA
"2018","01","29","Linville Falls","Avery",35.972347,-81.933072,7,NA
"2018","01","29","Mendenhall School","Guilford",36.1090060008986,-79.802314,15,NA
"2018","01","29","Millbrook School","Wake",35.856111,-78.574167,10,25
"2018","01","29","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,5,NA
"2018","01","29","West Johnston Co.","Johnston",35.59095,-78.4622,6,NA
"2018","01","30","Bryson City","Swain",35.434767,-83.442133,19,NA
"2018","01","30","Castle Hayne","New Hanover",34.364167,-77.838611,5,NA
"2018","01","30","Clemmons Middle","Forsyth",36.026,-80.342,22,NA
"2018","01","30","Durham Armory","Durham",36.0329550008979,-78.904037,29,NA
"2018","01","30","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,17,NA
"2018","01","30","Hattie Avenue","Forsyth",36.110693332,-80.2264378,22,NA
"2018","01","30","Leggett","Edgecombe",35.988278,-77.5843,18,NA
"2018","01","30","Mendenhall School","Guilford",36.1090060008986,-79.802314,20,NA
"2018","01","30","Millbrook School","Wake",35.856111,-78.574167,26,34
"2018","01","30","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,19,NA
"2018","01","30","West Johnston Co.","Johnston",35.59095,-78.4622,14,NA
"2018","01","31","Bryson City","Swain",35.434767,-83.442133,40,NA
"2018","01","31","Castle Hayne","New Hanover",34.364167,-77.838611,8,NA
"2018","01","31","Clemmons Middle","Forsyth",36.026,-80.342,35,NA
"2018","01","31","Durham Armory","Durham",36.0329550008979,-78.904037,33,NA
"2018","01","31","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,26,31
"2018","01","31","Hattie Avenue","Forsyth",36.110693332,-80.2264378,31,NA
"2018","01","31","Leggett","Edgecombe",35.988278,-77.5843,15,NA
"2018","01","31","Mendenhall School","Guilford",36.1090060008986,-79.802314,26,NA
"2018","01","31","Millbrook School","Wake",35.856111,-78.574167,29,31
"2018","01","31","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,20,NA
"2018","01","31","West Johnston Co.","Johnston",35.59095,-78.4622,22,NA
"2018","02","01","Bryson City","Swain",35.434767,-83.442133,55,NA
"2018","02","01","Castle Hayne","New Hanover",34.364167,-77.838611,15,NA
"2018","02","01","Clemmons Middle","Forsyth",36.026,-80.342,51,NA
